stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
991519,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
102886,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1070584,Small Packs,Wafers,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
899890,Unclassified,Unclassified,Unclassified,Condiments,Grocery
72196,Nuts,Nuts,Dessert Fruits & Nuts,Desserts,Grocery
1093480,Nuts,Nuts,Dessert Fruits & Nuts,Desserts,Grocery
853216,Chicken,MSG,Instant Small,Noodles,Grocery
1055662,Bottles,Canola Oil,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
1068559,Cans,Olive,Canned Fruit,Processed/Preserved Fruits,Grocery
1078099,Cans,Peach,Canned Fruit,Processed/Preserved Fruits,Grocery
833389,Powders,Powders,Imported,Soups,Grocery
918529,Powder,Hand Wash Dish Wash,Dish Wash,Cleaning Consumables,Household
1114765,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
372913,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
2779,Cologne & perfumes,Fragrance Access.,Skin Care,Toiletries Unisex,Household
12598,Torch,Torch,Illumination,General Needs,Household
1043044,Facial Whitening Cle,Facial Cleansers,Facial Cleansing,Facial Care,Household
115297,Cling Wraps,Cling Wraps,Cling Wraps,Kitchen Needs,Household
848185,Cream/Gel,Cream/Gel,Shaving Requisites,Toiletries Men,Household
1032604,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
128167,Table Salt,Table Salt,Salt,Seasoning & Coconut Cream,Grocery
209293,Lime,Pickles,Meal Accompaniments,Meal Accompaniments,Grocery
898378,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
10186,Assorted,Assorted,Assorted,Pasta,Grocery
20680,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
50434,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
122884,Local,Multiple Consump. Chocolate Gift-pa,Multiple Consumption Chocolates,Confectionery,Grocery
837691,Unclassified,Unclassified,Pre Mix,Desserts,Grocery
1077307,Bottles,Chocolate Spreads,Ambient Spreads,Spreads,Grocery
106765,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
986488,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
55726,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
1038265,Men's Facial All Ski,Men's Facial Cleansers,Men's Facial Care,Men's Toiletries,Household
983509,Men's Perfumes EDT,Men's Perfumes,Men's Fragrance,Men's Toiletries,Household
1035835,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
82870,Sponges,Sponges,Sponges & Scrubbers,Cleaning Durables,Household
278512,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
100510,Skin Care Baby Gift,Skin Care Baby Gift Packs,Baby Gift Packs,Baby Needs,Household
1015684,Feminine Hygiene Was,Feminine Hygiene Washers,Other Feminine Hygiene Needs,Personal Hygiene,Household
1013686,Complete meals,Dog Food,Pet Food,Pet Care,Household
835990,Lotion/Cream,Repellent,Insecticides,Pest Control,Household
815911,Cream/Gel,Cream/Gel,Shaving Requisites,Toiletries Men,Household
11950,Cream/Gel,Cream/Gel,Shaving Requisites,Toiletries Men,Household
22705,Hair Medicated Treat,Medicated Treatments,Hair Treatment,Hair Care,Household
115954,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
38518,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
893680,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
919303,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
496177,Table Salt,Table Salt,Salt,Seasoning & Coconut Cream,Grocery
131443,Powders,Coriander,Spices,Seasoning & Coconut Cream,Grocery
6811,Assorted,Assorted,Assorted,Pasta,Grocery
32245,Small Packs,Tea Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
917620,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
62944,Packets,Plain Soya Meat,Soya Meat,Processed / Preserved Vegetables,Grocery
831841,Powders,Powders,Imported,Soups,Grocery
20491,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
1057264,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
1106467,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
208996,Disposable Razors Pa,Disposable Razors,Razors & Blades,Men's Toiletries,Household
